;id;operator
0;734402;Agip
1;1228781;BP
2;5702030;
3;5702071;Avia
4;8082505;
5;17407058;Shell
6;27069561;SOCAR Energy Switzerland
7;27125026;Tresch Automobile
8;29881492;Shell (Switzerland)
9;29881496;
10;29882004;
11;29885121;
12;30011079;
13;33127154;
14;33157581;
15;33593043;
16;34026947;
17;34026948;
18;34026949;
19;34078845;Migrol
20;35684995;Agrola
21;36724756;BP
22;47744371;Coop Mineraloel
23;52741787;Shell (Switzerland)
24;54754456;
25;55275762;
26;56237356;Post
27;59185470;AVIA
28;73124669;Migrol
29;81321511;
30;82462301;Avia
31;82462303;
32;83423432;
33;83424882;Avia Osterwalder Zürich
34;84513888;
35;86035999;Agip
36;89266715;Landi Oberwiggertal
37;94628702;Shell (Switzerland)
38;95582040;
39;98838885;Coop Mineraloel
40;98838886;SOCAR Energy Switzerland
41;98838887;
42;101392168;
43;102726613;Migrol
44;102728438;
45;103096904;A.H. Meyer & Cie
46;103102957;
47;110964235;
48;111247327;Migrol
49;111247401;Coop Service
50;125683037;BP
51;130216563;Avia
52;130216565;Shell
53;130216566;BP
54;135633811;Migrol
55;148213917;Avia
56;148466650;Shell (Switzerland)
57;148466654;Shell (Switzerland)
58;153289980;Coop Mineraloel
59;171100087;
60;179047160;Tankstelle Svabic
61;182812681;
62;190344999;BP
63;194647104;Coop
64;201387216;Coop Mineraloel
65;206380323;
66;207089654;
67;208814607;
68;213320801;
69;220030470;
70;220830818;Migrol
71;243881645;
72;244479991;
73;246650988;Migrol
74;247345256;Agip
75;247697427;Avia
76;247702040;Migrol
77;247702174;Migrol
78;247702175;
79;248973336;
80;249500787;SOCAR Energy Switzerland
81;251364446;Coop Mineraloel
82;251364447;Migrol
83;251364453;Garage Krapf AG
84;251364454;AMAG
85;251540984;
86;253239439;Shell
87;254289007;
88;255007349;Coop Mineraloel
89;256221360;
90;256757662;Tamoil
91;257281284;
92;257282729;
93;258875594;
94;260443215;Migrol
95;261741477;
96;262931005;
97;263923036;Shell (Switzerland)
98;264065504;Garage Hans Odermatt AG
99;264073160;
100;264378536;Agrola
101;264529525;
102;264530018;
103;264610443;
104;264771144;Migrol
105;264794355;Coop Mineraloel
106;264889459;
107;264940312;Schätzle AG
108;265569040;
109;265627180;Migrol
110;265718046;Miniprix
111;265823655;Coop
112;266285284;SOCAR Energy Switzerland
113;266285329;
114;266542839;BP
115;266542840;
116;266542843;
117;266561086;
118;266825152;
119;266953468;A.H. Meyer & Cie
120;267053552;
121;267053810;Eni
122;267053813;Agip
123;267211865;BP
124;267212190;
125;267924554;
126;268469414;
127;268742610;
128;268892714;
129;268893437;
130;269050377;private
131;269059096;
132;269120240;Shell (Switzerland)
133;269304240;
134;269304246;Shell
135;269423023;Bereuter
136;269450517;Coop Mineraloel
137;269654731;Migrol
138;269665687;
139;269952262;Shell
140;270051291;Shell
141;270156438;
142;270288402;Agrola
143;270288802;
144;270505837;
145;271223009;
146;272631681;
147;272725604;
148;273223793;Migrol
149;273529123;Renault / Peugeot Minipix TS
150;273529124;Tamoil
151;274077459;HK
152;274592567;Migrol
153;274678779;SOCAR Energy Switzerland
154;274716746;
155;274815548;Karl Graf Automobile AG
156;274978894;
157;274980462;
158;274980463;Migrol
159;274980567;
160;275422339;Ostring Garage Lack AG
161;275746833;
162;276021507;
163;276047520;BP
164;276047521;BP
165;276068551;
166;276414834;
167;276602502;BP
168;277469389;SOCAR Energy Switzerland
169;277755862;
170;278205001;SOCAR Energy Switzerland
171;278205018;avia
172;278232271;
173;278792162;Migrol
174;279311963;
175;279370610;
176;279909825;Shell (Switzerland)
177;280348868;
178;280528115;Migrol
179;281282674;BP
180;281283867;BP
181;281284025;
182;281284791;Tamoil
183;281286146;ECSA Energy SA - Station de service BP
184;281290981;BP
185;281291631;Shell
186;281571963;
187;281761432;Socar
188;282180757;AGIP
189;282439888;
190;282458392;
191;283045787;
192;283181019;Migrol
193;283201896;
194;283213549;
195;284931676;Shell
196;286048215;SOCAR Energy Switzerland
197;286056220;AGIP
198;286059665;Imholz Autohaus
199;286059992;
200;286059993;
201;286478967;
202;286596987;
203;286770232;Socar
204;286782225;
205;286879558;Landi
206;286879677;
207;286904870;Agip
208;287320953;
209;287630914;
210;288557316;Avia
211;288740214;P. Wyssmann
212;289150440;AVIA
213;290798270;
214;291415329;SOCAR Energy Switzerland
215;291637079;
216;291769933;
217;292331528;
218;292341684;
219;292356897;Garage Fischbach GmbH
220;292362274;
221;292507777;Shell
222;292626676;BP
223;292626689;
224;292626690;
225;293011493;Shell
226;293030011;
227;293254091;Shell
228;293585451;Coop Mineraloel
229;293609533;
230;294055540;Migrol
231;294055589;Avia
232;295747025;Socar
233;296253069;Coop
234;296941470;Avia Vereinigung
235;296990388;Migrol
236;297027382;
237;297070232;Esso
238;297302039;
239;297938369;Shell
240;297993545;AVIA
241;298042177;Grisard
242;298154525;Tamoil
243;298681614;AVIA
244;298715804;Schweizer Armee
245;298856019;sikkens
246;298873230;Socar
247;299207655;
248;299311915;
249;299363864;
250;299364634;Shell
251;299752761;
252;299813447;Voegtlin-Meyer
253;299813627;
254;300418712;A.H. Meyer & Cie
255;300514678;SOCAR Energy Switzerland
256;300514679;Migrol
257;301208147;
258;301407672;
259;301467582;
260;303314859;
261;303699177;
262;303844420;
263;303903676;
264;304014558;Tamoil
265;304917714;SOCAR Energy Switzerland
266;304992273;Schätzle
267;304993060;
268;305469317;
269;305469322;SOCAR Energy Switzerland
270;305701426;Avia Osterwalder Zürich
271;305707837;SOCAR Energy Switzerland
272;305765115;MACRO SWISS ENERGY AG
273;305765123;
274;306231847;
275;306498031;Shell
276;307028624;Migrol
277;307121153;
278;307121156;Migrol
279;307363530;Coop Mineraloel
280;307661791;
281;307662123;
282;307669315;
283;307695032;AVIA
284;307698374;BP
285;307776683;
286;307821699;
287;308075661;Migrol
288;308077581;
289;308632636;Aebi Suisse SA
290;309112387;
291;309425295;
292;309431866;Migrol
293;309431882;HK
294;309433866;Tamoli
295;309765158;Socar
296;309956444;Shell
297;309956446;Shell
298;309986668;Migrol
299;310091786;
300;310205995;
301;310299936;SOCAR Energy Switzerland
302;310314796;SOCAR Energy Switzerland
303;310390136;
304;310567715;
305;310668275;LANDI Buchrain
306;310668277;Avia
307;310875963;Migrol
308;311097320;Avia
309;311185159;BP
310;311252839;
311;311252842;
312;311319045;Migrol
313;311976893;Moveri
314;312012092;Migrol
315;312365830;Shell
316;312468153;Tamoil
317;312630282;
318;313192016;Landi
319;313268393;Shell (Switzerland)
320;313783389;
321;315513529;Avia
322;315538029;
323;315538104;Gebrüder Knecht
324;315599575;
325;316022671;
326;316022885;
327;316080571;
328;316878199;
329;317022081;Agrola
330;317038642;Juragarage-Peter
331;317044955;Coop Mineraloel AG
332;317044957;Shell (Switzerland)
333;317044958;BP
334;317045478;
335;317828998;BP
336;317829000;
337;317829065;
338;318306689;BP
339;318410355;Migrol
340;318647877;BP
341;319114593;BP
342;319463995;
343;319504511;Tamoil
344;320040835;Coop Mineraloel
345;320040876;Ruedi Rüssel
346;320182673;Migrol
347;321271634;
348;321362564;
349;321679040;Socar
350;321853683;
351;321854756;Avia
352;321855166;
353;322009546;
354;322061464;Agip
355;322913188;
356;323236561;Avia
357;324343384;
358;324648649;Migrol
359;325054969;
360;325787263;
361;325851832;
362;327282170;Migrol
363;327446985;
364;328060238;
365;330142805;BP
366;331317250;Migrol
367;331337817;
368;331589251;
369;333739192;
370;333771406;Coop Mineraloel
371;334002482;Coop
372;334005113;
373;335477010;
374;335958350;SOCAR Energy Switzerland
375;336019729;Coop Mineraloel
376;336601485;
377;338639819;Avia Osterwalder Zürich
378;339612237;
379;339612238;
380;339631367;H.P. Breitschmid
381;339631500;Automobile Reichenbach
382;339957313;Avia
383;340321987;BP
384;340381113;Migrol
385;341961288;
386;343087168;Migrol
387;344194669;Shell (Switzerland)
388;344522057;Auto Pfister AG
389;345154356;Agip
390;345328505;
391;345519391;
392;346269257;Landi
393;346365679;
394;346406523;AVIA
395;347351831;Agip
396;347672312;BP
397;349171294;Shell
398;349196976;Agrola
399;351947075;
400;351947126;
401;351947210;
402;351947522;
403;351961987;Shell
404;352786909;Tamoil
405;353011599;SOCAR Energy Switzerland
406;353452474;BP
407;353452484;Shell
408;353452488;AVIA
409;354407155;BP
410;354548408;Tamoil
411;354593878;Eni
412;354593932;
413;354633686;Coop
414;354695628;
